2026-08-07 00:08:40,927 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,927 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,943 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,944 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,956 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,958 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,958 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,959 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,971 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,973 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,992 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,993 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:41,018 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:41,021 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:41,021 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:41,021 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:41,024 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:41,026 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:41,037 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:41,038 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:41,064 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:41,066 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:41,066 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
